Headline,Date,category
"
	            Gaza: Israel öffnet nach Waffenruhe mit Hamas Grenzübergang für Waren
	        ","
			1.09.2020 12:27 Uhr
		",naher osten
"
	            Trumps Schwiegersohn mit an Bord: Erster Direktflug zwischen Israel und den Emiraten
	        ","
			31.08.2020 21:59 Uhr
		",naher osten
"
	            Diab geht, Adib kommt: Botschafter in Deutschland wird nächster Premier Libanons
	        ","
			31.08.2020 21:37 Uhr
		",naher osten
"
	            Bahrain lehnt den Druck der USA ab, die Beziehungen zu Israel zu normalisieren
	        ","
			30.08.2020 20:47 Uhr
		",naher osten
"
	            Überstunden wegen Corona-Krise: 2.000 Laborangestellte in Israel streiken wegen Überlastung
	        ","
			30.08.2020 15:02 Uhr
		",naher osten
"
	            Präsident der Vereinigten Arabischen Emirate hebt Boykott gegen Israel per Dekret auf
	        ","
			29.08.2020 13:59 Uhr
		",naher osten
"
	            Waffen für Libyen: Airbus wartet türkische Militärflugzeuge
	        ","
			27.08.2020 21:26 Uhr
		",naher osten
"
	            Rückschlag für Anti-Huthi-Bündnis im Jemen: Übergangsrat zieht sich aus Riad-Abkommen zurück
	        ","
			27.08.2020 21:03 Uhr
		",naher osten
"
	            Kollision zwischen russischen und US-Militärfahrzeugen in Syrien – gegenseitige Vorwürfe (Video)
	        ","
			27.08.2020 14:43 Uhr
		",naher osten
"
	            ""Nicht eine einzige Schraube"": Israelischer Minister gegen Verkauf von F-35-Kampfjets an Emirate
	        ","
			27.08.2020 11:57 Uhr
		",naher osten
"
	            Neue Runde der UN-Gespräche zu Syrien in Genf
	        ","
			26.08.2020 23:01 Uhr
		",naher osten
"
	            Libanon verurteilt Angriff durch Israel
	        ","
			26.08.2020 11:30 Uhr
		",naher osten
"
	            Osmanische Nostalgie: Erdoğan verkündet eine neue Ära für die Türkei
	        ","
			26.08.2020 06:45 Uhr
		",naher osten
"
	            Mehr als 10.000 aktive IS-Kämpfer in Syrien und Irak
	        ","
			26.08.2020 06:15 Uhr
		",naher osten
"
	            Israelis können aufatmen: Keine Neuwahlen, Kompromiss im Etatstreit
	        ","
			25.08.2020 20:52 Uhr
		",naher osten
"
	            Attacke auf Militärpatrouille in Syrien: Zwei russische Armeeangehörige leicht verletzt
	        ","
			25.08.2020 16:25 Uhr
		",naher osten
"
	            Massive Stromausfälle nach Gaspipeline-Explosion in Syrien – Behörden gehen von Terroranschlag aus
	        ","
			24.08.2020 13:27 Uhr
		",naher osten
"
	            Nach Israel-VAE-Deal: USA erwägen Verkauf von F-35-Kampfjets
	        ","
			23.08.2020 19:47 Uhr
		",naher osten
"
	            Proteste in Jerusalem: Polizei nimmt 30 Demonstranten fest
	        ","
			23.08.2020 10:58 Uhr
		",naher osten
"
	            Israel fängt Rakete aus Gaza ab – Panzer greifen Hamas-Posten an
	        ","
			22.08.2020 08:25 Uhr
		",naher osten
"
	            Trump bekräftigt Plan über Abzug aller US-Truppen aus dem Irak
	        ","
			21.08.2020 21:06 Uhr
		",naher osten
"
	            Tickende Zeitbombe wird zum politischen Spielball – Streit um Tanker statt Frieden im Jemen
	        ","
			21.08.2020 08:03 Uhr
		",naher osten
"
	            US-Botschafter lobt Türkei für Militärintervention in Libyen
	        ","
			20.08.2020 19:34 Uhr
		",naher osten
"
	            Israel und die Vereinigten Arabischen Emirate: Gegen wen richtet sich das neue Bündnis?
	        ","
			19.08.2020 20:33 Uhr
		",naher osten
"
	            Zwei US-Drohnen offenbar über Idlib abgestürzt – Gerüchte über Abschuss durch pro-türkische Milizen
	        ","
			19.08.2020 15:37 Uhr
		",naher osten
"
	            Spannungen mit Israel führen zur Abschaltung des einzigen Kraftwerks im Gazastreifen
	        ","
			19.08.2020 11:47 Uhr
		",naher osten
"
	            Russischer General nach Bombenexplosion in Syrien getötet - Schwere Vorwürfe an USA
	        ","
			19.08.2020 10:42 Uhr
		",naher osten
"
	            Machtpolitische Höhenflüge im östlichen Mittelmeer in Zeiten regionaler Neuordnung
	        ","
			19.08.2020 06:45 Uhr
		",naher osten
"
	            Karin Leukefeld über das Pulverfass Libanon
	        ","
			18.08.2020 20:28 Uhr
		",naher osten
"
	            USA greifen erneut Kontrollpunkt der syrischen Armee an - Anwohner demonstrieren gegen US-Präsenz
	        ","
			18.08.2020 18:57 Uhr
		",naher osten
"
	            Urteil des Libanon-Tribunals zu Mord an Rafiq al-Hariri: Keine Beweise gegen Hisbollah oder Syrien
	        ","
			18.08.2020 17:27 Uhr
		",naher osten
"
	            Nachrichtenagentur SANA: Syrischer Soldat bei US-Luftangriff getötet, zwei weitere verwundet
	        ","
			17.08.2020 14:15 Uhr
		",naher osten
"
	            Assad: Jüngste US-Sanktionen leiten neue Phase des Krieges gegen Syrien ein
	        ","
			15.08.2020 17:02 Uhr
		",naher osten
"
	            RT-Doku: Beirut nach der Explosion
	        ","
			15.08.2020 14:08 Uhr
		",naher osten
"
	            Nach Israel-VAE-Deal: US-Botschafter sieht Möglichkeit für mehr Waffen in den Nahen Osten gekommen
	        ","
			15.08.2020 13:21 Uhr
		",naher osten
"
	            Israel beschießt weitere Hamas-Ziele nach neuen Ballon-Angriffen
	        ","
			15.08.2020 08:15 Uhr
		",naher osten
"
	            Die strategische Partnerschaft zwischen Iran und China fordert das Sanktionsregime der USA heraus
	        ","
			15.08.2020 07:45 Uhr
		",naher osten
"
	            Israel und Vereinigte Arabische Emirate: Diplomatische Beziehungen gegen Aufgabe der Annexionspläne?
	        ","
			14.08.2020 20:56 Uhr
		",naher osten
"
	            Salz in die Wunden: Wie einige Staaten die Schwäche des Libanon für eigene Interessen ausnutzen
	        ","
			14.08.2020 20:11 Uhr
		",naher osten
"
	            Jemen: Heftige Überschwemmungen mit mehr als 170 Toten und zerstörter Infrastruktur
	        ","
			14.08.2020 16:35 Uhr
		",naher osten
"
	            US-Diplomat im Libanon: FBI beteiligt sich an Untersuchung zur Explosionsursache
	        ","
			14.08.2020 14:59 Uhr
		",naher osten
"
	            Französischer Abgeordneter fordert Einstufung der Hisbollah als Terrororganisation – Macron lehnt ab
	        ","
			14.08.2020 10:56 Uhr
		",naher osten
"
	            Libanon nach der großen Explosion: Ist ein Neubeginn möglich?
	        ","
			14.08.2020 06:45 Uhr
		",naher osten
"
	            Außenminister Maas im Libanon: ""Die politische Elite muss umdenken""
	        ","
			13.08.2020 19:00 Uhr
		",naher osten
"
	            Trump kündigt ""historisches Abkommen"" zwischen Israel und Vereinigten Arabischen Emiraten an
	        ","
			13.08.2020 17:41 Uhr
		",naher osten
"
	            Sprengstoff-Ballons aus dem Gazastreifen: Israel schlägt mit Kampfhubschraubern und Panzern zurück
	        ","
			12.08.2020 20:43 Uhr
		",naher osten
"
	            Explosion in Beirut: Die schwerwiegenden Folgen für Israel und die Hisbollah
	        ","
			11.08.2020 19:29 Uhr
		",naher osten
"
	            Hardliner folgt auf Hardliner: US-Regierung ernennt neuen Sonderbeauftragten für Iran
	        ","
			10.08.2020 19:50 Uhr
		",naher osten
"
	            Libanons Gesundheitsminister: Premier Hassan Diab und gesamte Regierung treten zurück
	        ","
			10.08.2020 16:50 Uhr
		",naher osten
"
	            Beirut: Mittlerweile 220 Todesopfer – keine weiteren Überlebenden unter den Trümmern erwartet
	        ","
			10.08.2020 07:27 Uhr
		",naher osten
"
	            Erneut Hunderte Menschen bei Protesten in Beirut: Polizei setzt Tränengas ein
	        ","
			10.08.2020 02:55 Uhr
		",naher osten
"
	            ""Die Libanesen haben genug gelitten"": USA streben im Windschatten der Katastrophe Regime-Change an
	        ","
			9.08.2020 19:38 Uhr
		",naher osten
"
	            LIVE-Updates aus Beirut: Proteste vor libanesischem Parlament
	        ","
			9.08.2020 18:31 Uhr
		",naher osten
"
	            Ein Toter und Hunderte Verletzte bei Protest in Beirut – Konferenz berät über Hilfe für Libanon
	        ","
			9.08.2020 06:31 Uhr
		",naher osten
"
	            Libanon: Mehr als 100 Verletzte bei Protesten in Beirut – Libanons Premier kündigt Neuwahlen an
	        ","
			8.08.2020 19:50 Uhr
		",naher osten
"
	            Österreichs Ex-Außenministerin Kneissl: Hisbollah steht heute für Establishment und Korruption
	        ","
			8.08.2020 12:08 Uhr
		",naher osten
"
	            Der Libanon zerbricht – eine Collage zu den Hintergründen (Teil 1)
	        ","
			7.08.2020 15:22 Uhr
		",naher osten
"
	            Beirut: Schiff mit russischer Besatzung durch Explosion beschädigt
	        ","
			7.08.2020 14:02 Uhr
		",naher osten
"
	            Präsident des Libanon: Ursache der Beirut-Explosion noch ungeklärt - Angriff nicht ausgeschlossen
	        ","
			7.08.2020 12:55 Uhr
		",naher osten
"
	            Beirut: Berichte über Proteste nahe Parlament
	        ","
			6.08.2020 23:03 Uhr
		",naher osten
"
	            Libanesischer Botschafter: Russland leistet unserem Volk wie immer große Unterstützung
	        ","
			6.08.2020 18:14 Uhr
		",naher osten
"
	            Deutschland schickt Hilfe nach Beirut: Technisches Hilfswerk und Bundeswehr im Einsatz
	        ","
			6.08.2020 10:27 Uhr
		",naher osten
"
	            Bereits 135 Tote und 5.000 Verletzte nach Beirut-Inferno – Zeugen schildern Moment der Explosion
	        ","
			5.08.2020 22:27 Uhr
		",naher osten
"
	            Explosion in Beirut: Aufnahmen zeigen Ausmaß der Zerstörung (Video)
	        ","
			5.08.2020 20:09 Uhr
		",naher osten
"
	            USA unterzeichnen Ölabkommen mit kurdischen Rebellengruppen in Nordsyrien
	        ","
			5.08.2020 19:10 Uhr
		",naher osten
"
	            Explosion im Hafen von Beirut beschädigt Getreidesilos
	        ","
			5.08.2020 16:19 Uhr
		",naher osten
"
	            Katastrophe von Beirut: Die Suche nach der Ursache
	        ","
			5.08.2020 14:45 Uhr
		",naher osten
"
	            Libanons Ministerpräsident verspricht: Verantwortliche für Explosion werden zur Rechenschaft gezogen
	        ","
			5.08.2020 12:38 Uhr
		",naher osten
"
	            Video: Die gewaltige Explosion in Beirut aus 15 synchronisierten Perspektiven
	        ","
			5.08.2020 10:46 Uhr
		",naher osten
"
	            USA fühlen sich provoziert: Iranische Revolutionsgarde attackiert US-Flugzeugträger-Attrappe
	        ","
			5.08.2020 06:45 Uhr
		",naher osten
"
	            ""Das ist eine Katastrophe"": Mindestens 100 Tote und über 4.000 Verletzte nach Explosionen in Beirut
	        ","
			5.08.2020 01:55 Uhr
		",naher osten
"
	            ""Es war wie ein Erdbeben"" – Überlebende berichten über Explosionen in Beirut
	        ","
			5.08.2020 01:40 Uhr
		",naher osten
"
	            Explosionen in Beirut: Offenbar libanesischer Politiker unter den Opfern
	        ","
			4.08.2020 22:41 Uhr
		",naher osten
"
	            Israel nach Explosion in Beirut: Haben damit nichts zu tun
	        ","
			4.08.2020 22:09 Uhr
		",naher osten
"
	            Beirut: Mindestens 50 Tote, über 2.500 Verletzte, Krankenhäuser überfordert (Video)
	        ","
			4.08.2020 21:09 Uhr
		",naher osten
"
	            Weißes Haus zur Explosion in Beirut: Verfolgen das Geschehen genau
	        ","
			4.08.2020 20:43 Uhr
		",naher osten
"
	            Beirut: Explosion soll sich in Lager mit beschlagnahmtem Sprengstoff ereignet haben
	        ","
			4.08.2020 19:54 Uhr
		",naher osten
"
	            Nach Explosion von Beirut: Gouverneur zieht Vergleich zu Hiroshima
	        ","
			4.08.2020 19:41 Uhr
		",naher osten
"
	            Explosion in Beirut: Mindestens zehn Tote, Hunderte Verletzte, Stadtzentrum in Trümmern
	        ","
			4.08.2020 19:19 Uhr
		",naher osten
"
	            Libanon: Schwere Explosion erschüttert Hauptstadt Beirut – Dutzende Verletzte
	        ","
			4.08.2020 18:00 Uhr
		",naher osten
"
	            Libanon: ""Wir sind auf dem Weg zum gescheiterten Staat"" – Außenminister reicht Rücktritt ein
	        ","
			3.08.2020 16:04 Uhr
		",naher osten
"
	            Situation im Jemen hat weiteren Tiefpunkt erreicht – China drängt auf politische Lösung
	        ","
			2.08.2020 07:30 Uhr
		",naher osten
"
	            Saudi-Arabien verzeichnet im zweiten Quartal 2020 ein Defizit von 29 Milliarden US-Dollar
	        ","
			1.08.2020 15:14 Uhr
		",naher osten
"
	            Kinderrechtsorganisation warnt: Im Libanon werden Kinder noch in diesem Jahr an Hunger sterben
	        ","
			31.07.2020 06:15 Uhr
		",naher osten
"
	            Welle von mysteriösen Explosionen im Iran hält an – Tanklaster in Brand geraten (Video)
	        ","
			29.07.2020 14:21 Uhr
		",naher osten
"
	            Libyen-Konflikt: USA drohen Haftar mit Sanktionen wegen angeblicher Erdölausfuhr-Blockade
	        ","
			28.07.2020 19:52 Uhr
		",naher osten
"
	            Grenzscharmützel zwischen Israel und Libanon? Hisbollah dementiert angeblichen Infiltrationsversuch
	        ","
			28.07.2020 15:55 Uhr
		",naher osten
"
	            Israelisches Militär: ""Anhaltende Kämpfe mit Hisbollah-Kämpfern an der Nordgrenze""
	        ","
			27.07.2020 16:26 Uhr
		",naher osten
"
	            Überläufer von Maghawir al-Thawra: US-Verbündete in Syrien rekrutieren Kämpfer von IS und al-Qaida
	        ","
			27.07.2020 10:45 Uhr
		",naher osten
"
	            Die USA stärken mit maximalem Druck iranische Hardliner
	        ","
			26.07.2020 12:35 Uhr
		",naher osten
"
	            ""Palästinenser können sich auf uns verlassen"": China warnt Israel vor Umsetzung von Annexionsplänen
	        ","
			25.07.2020 16:57 Uhr
		",naher osten
"
	            Wunschdenken eines US-Generals: Russen halten sich an ""unsere Protokolle"" in Syrien
	        ","
			25.07.2020 13:00 Uhr
		",naher osten
"
	            Israel greift Militärziele in Syrien an
	        ","
			25.07.2020 06:56 Uhr
		",naher osten
"
	            Syrien: US-General weigert sich, Anzahl der US-Einsatztruppen zu nennen
	        ","
			24.07.2020 06:30 Uhr
		",naher osten
"
	            Iran: F-15 Kampfjets bedrohen iranische Passagiermaschine über Syrien – Mehrere Verletzte
	        ","
			23.07.2020 22:10 Uhr
		",naher osten
"
	            Syrien: Washington empört über Parlamentswahlen – Assads Partei gewinnt bei geringer Beteiligung
	        ","
			23.07.2020 15:46 Uhr
		",naher osten
