Headline,Date,category
"
	            München gibt Corona-Alarm: Kontaktbeschränkungen und Maskenpflicht auf öffentlichen Plätzen
	        ","
			21.09.2020 17:30 Uhr
		",inland
"
	            Historiker Hannes Hofbauer: Politische Linke verkennt ""Funktion der Migration""
	        ","
			21.09.2020 16:51 Uhr
		",inland
"
	            München beschließt Maskenpflicht auf einigen öffentlichen Plätzen
	        ","
			21.09.2020 12:30 Uhr
		",inland
"
	            Ab Dienstag: Warnstreiks im öffentlichen Dienst in Deutschland
	        ","
			21.09.2020 10:01 Uhr
		",inland
"
	            Medienbericht: Deutsche Krankenhäuser verringern Intensivbetten für COVID-19-Patienten
	        ","
			21.09.2020 08:19 Uhr
		",inland
"
	            SWP plädiert für Fertigstellung von Nord Stream 2
	        ","
			21.09.2020 06:45 Uhr
		",inland
"
	            RT-Exklusiv: Russland bittet in zweitem Rechtshilfeersuchen um Befragung von Alexei Nawalny
	        ","
			20.09.2020 22:15 Uhr
		",inland
"
	            Einbruchserie in Tierheimen deutschlandweit: Belohnung ausgesetzt
	        ","
			20.09.2020 21:35 Uhr
		",inland
"
	            ""Nur Bares ist Wahres"" – Jedenfalls in Deutschland und Österreich
	        ","
			20.09.2020 13:00 Uhr
		",inland
"
	            ""Mission Aufbruch"": Lindner stellt FDP vor Bundestagswahl neu auf – Ziel ist Mitregieren
	        ","
			19.09.2020 21:58 Uhr
		",inland
"
	            Berlin: Hochhauspläne kollidieren mit Sowjetischem Ehrenmal
	        ","
			19.09.2020 21:14 Uhr
		",inland
"
	            Linke-Parteitag in Thüringen: Hennig-Wellsow und Kipping werben für Regierungsbeteiligung
	        ","
			19.09.2020 19:21 Uhr
		",inland
"
	            Fall Nawalny: Warum beschränkt die Bundesregierung das Untersuchungsmandat der OPCW?
	        ","
			19.09.2020 09:21 Uhr
		",inland
"
	            Forsa-Umfrage: Vertrauen in den Staat gestiegen
	        ","
			19.09.2020 07:30 Uhr
		",inland
"
	            Bundestag reformiert KfZ-Steuer: Hoher Verbrauch, mehr Abgaben
	        ","
			19.09.2020 07:15 Uhr
		",inland
"
	            Schwesig trotzt Transatlantik-Front: Grüne ""schaden"" Mecklenburg-Vorpommern
	        ","
			18.09.2020 21:41 Uhr
		",inland
"
	            ""Tesla Rocks!"" – Unternehmen erhält Negativpreis
	        ","
			18.09.2020 17:43 Uhr
		",inland
"
	            Nawalnys ""Nowitschok-Flaschen"" in deutschem Besitz? Bundesregierung will nichts bestätigen
	        ","
			18.09.2020 16:47 Uhr
		",inland
"
	            Scholz will 2021 rund 96 Milliarden Euro neue Schulden aufnehmen
	        ","
			18.09.2020 15:47 Uhr
		",inland
"
	            Gutachten des Wissenschaftlichen Dienstes: Gesetz gegen Hassrede teilweise verfassungswidrig
	        ","
			18.09.2020 11:43 Uhr
		",inland
"
	            Nach Desaster am Warntag: Oberster Katastrophenschützer gefeuert
	        ","
			18.09.2020 08:41 Uhr
		",inland
"
	            Marktradikal und angepasst statt alternativ – Studie untersucht Abstimmungen der AfD
	        ","
			18.09.2020 07:42 Uhr
		",inland
"
	            Anwalt für Migrationsrecht Dr. Martin Manzel: ""Flüchtlinge aufnehmen, aber Bedingungen setzen""
	        ","
			17.09.2020 22:45 Uhr
		",inland
"
	            Mely Kiyak zu Moria-Brandstiftern: ""Sie taten das einzig Richtige""
	        ","
			17.09.2020 22:05 Uhr
		",inland
"
	            Einigung im Tarifstreit: Geringere Lohnsteigerungen für Bahn-Beschäftigte
	        ","
			17.09.2020 21:27 Uhr
		",inland
"
	            Linken-Anfrage: Für 15 Millionen Beschäftigte resultiert aus zu niedrigen Löhnen wohl Altersarmut
	        ","
			17.09.2020 18:17 Uhr
		",inland
"
	            Umfrage: Mehrheit der Bevölkerung fürchtet Pull-Effekt bei Migration
	        ","
			17.09.2020 17:55 Uhr
		",inland
"
	            Spahn bittet Beitragszahler nun doch für Corona-Kosten zur Kasse
	        ","
			17.09.2020 16:40 Uhr
		",inland
"
	            Hamburger Ärzte-Chef Walter Plassmann über Corona: ""Gelassenheit ist angebracht""
	        ","
			17.09.2020 14:02 Uhr
		",inland
"
	            Weniger Lebensmittelkontrollen – Foodwatch warnt vor ""wahnwitzigen Plänen im Bundesrat""
	        ","
			17.09.2020 11:28 Uhr
		",inland
"
	            ""Es darf wieder getanzt werden"" – Sachsen-Anhalt lockert weitere Corona-Regeln
	        ","
			17.09.2020 10:22 Uhr
		",inland
"
	            Zahl der Krankheitstage wegen psychischer Probleme auf Höchststand
	        ","
			17.09.2020 07:33 Uhr
		",inland
"
	            Bundesfamilienministerin Franziska Giffey will zurück nach Berlin
	        ","
			16.09.2020 22:10 Uhr
		",inland
"
	            Die Grünen wollen EU-Länder abkassieren, wenn sie die Aufnahme von Migranten verweigern
	        ","
			16.09.2020 19:51 Uhr
		",inland
"
	            ""Epidemische Lage von nationaler Tragweite"" bleibt wohl bis März 2021
	        ","
			16.09.2020 16:45 Uhr
		",inland
"
	            Mysteriöse Nawalny-Zeugin flüchtet vor Befragung nach Deutschland – Bundesregierung mauert
	        ","
			16.09.2020 15:02 Uhr
		",inland
"
	            Nordrhein-Westfalen: Rechtsextreme Chat-Gruppen bei Polizei aufgedeckt
	        ","
			16.09.2020 11:28 Uhr
		",inland
"
	            Hühnchen weg, Experte ran – Keine Entwarnung beim Unstrut-Krokodil
	        ","
			16.09.2020 06:15 Uhr
		",inland
"
	            GroKo einigt sich auf die Aufnahme von 1.553 Migranten
	        ","
			15.09.2020 22:31 Uhr
		",inland
"
	            Gedenkstätte Gardelegen: Bundespräsident Steinmeier mahnt Demokratie und Menschenwürde an
	        ","
			15.09.2020 19:57 Uhr
		",inland
"
	            Lüften nun wichtiger als Maske? – Berlin will CO2-Messgeräte für Klassenzimmer
	        ","
			15.09.2020 19:29 Uhr
		",inland
"
	            ""Wir haben Fehler gemacht bei Axel Springer"" – Chef Mathias Döpfner zeigt Reue im Solingen-Fall
	        ","
			15.09.2020 19:02 Uhr
		",inland
"
	            G36-Nachfolger der Bundeswehr soll vom Thüringer Waffenhersteller C. G. Haenel kommen
	        ","
			15.09.2020 18:31 Uhr
		",inland
"
	            Ablenkung von aktuellen Problemen: Linke-Politikerin zur Gender-Debatte bei der Bundeswehr
	        ","
			15.09.2020 18:00 Uhr
		",inland
"
	            Bis zu 5.000 Euro: Berliner Senat beschließt Bußgeld für Gastwirte
	        ","
			15.09.2020 16:26 Uhr
		",inland
"
	            Corona doch kein Killervirus? Sterblichkeit auf annähernd gleichem Niveau wie in Vorjahren
	        ","
			15.09.2020 13:31 Uhr
		",inland
"
	            Bundesregierung will nicht untersuchen, ob Nowitschok-Vergiftung von Nawalny in Deutschland erfolgte
	        ","
			15.09.2020 12:12 Uhr
		",inland
"
	            Merkel und Seehofer wollen 1.500 Migranten von Lesbos aufnehmen
	        ","
			15.09.2020 09:52 Uhr
		",inland
"
	            ""Pop-Up-Humor""? Berlin gibt eine Million Euro für ""witzige"" Corona-Kampagne aus
	        ","
			15.09.2020 08:28 Uhr
		",inland
"
	            Gerichte im Dauerstress: Seit Flüchtlingskrise 250.000 unbearbeitete Verfahren
	        ","
			15.09.2020 07:43 Uhr
		",inland
"
	            Entscheidungen zu Corona-Maßnahmen in Bayern nicht aktenkundig
	        ","
			14.09.2020 20:20 Uhr
		",inland
"
	            Katholische Studierende Jugend schreibt Gott ab sofort ""Gott*"" – mit Gendersternchen
	        ","
			14.09.2020 20:03 Uhr
		",inland
"
	            Messer-Attacke in Stolberg: Womöglich politisch motiviert wegen AfD-Wahlwerbung
	        ","
			14.09.2020 18:59 Uhr
		",inland
"
	            Fall Nawalny: Bundesregierung verstrickt sich auf Bundespressekonferenz in Widersprüche
	        ","
			14.09.2020 16:20 Uhr
		",inland
"
	            Berlin: Richter können wegen IT-Problemen nicht arbeiten
	        ","
			14.09.2020 13:33 Uhr
		",inland
"
	            Islamistischer Hintergrund? – Mysteriöse Messer-Attacke in Stolberg
	        ","
			14.09.2020 12:47 Uhr
		",inland
"
	            Nordrhein-Westfalen: Land fällt bei COVID-19-Ausrüstung auf nigerianische Cyber-Kriminelle herein
	        ","
			14.09.2020 08:39 Uhr
		",inland
"
	            Laschet siegt bei Stimmungstest – SPD verliert immer weiter
	        ","
			14.09.2020 07:57 Uhr
		",inland
"
	            Wie zu DDR-Zeiten? 12 Jahre Warten auf Kleingärten in Berlin
	        ","
			14.09.2020 06:15 Uhr
		",inland
"
	            CDU bei NRW-Kommunalwahlen vorn: Rekordergebnis für Grüne
	        ","
			13.09.2020 21:09 Uhr
		",inland
"
	            Blutvergiftung in Deutschland – jede dritte endet tödlich
	        ","
			13.09.2020 13:59 Uhr
		",inland
"
	            R+V-Studie: Deutsche haben mehr Angst vor den Folgen des Lockdowns als vor dem Coronavirus
	        ","
			13.09.2020 10:37 Uhr
		",inland
"
	            NRW-Bürger entscheiden über die Macht in Rathäusern und Kreistagen
	        ","
			13.09.2020 08:30 Uhr
		",inland
"
	            AOK-Chef: Trotz Corona weniger Kliniken benötigt – oder wegen Corona?
	        ","
			12.09.2020 20:58 Uhr
		",inland
"
	            Nach Steuerschätzung: Bundeshaushalt 2021 nicht ohne weitere Kreditaufnahme
	        ","
			12.09.2020 17:10 Uhr
		",inland
"
	            Automobilclub von Deutschland über Chaos bei Straßenverkehrsordnung (Video)
	        ","
			12.09.2020 15:56 Uhr
		",inland
"
	            München: Gericht kippte Teilnehmerbeschränkung für Corona-Demo
	        ","
			12.09.2020 14:20 Uhr
		",inland
"
	            Über 80 Schwarzfahrer lösen Polizeieinsatz bei Hamburg aus – Zugbegleiterin bei Kontrolle angepöbelt
	        ","
			12.09.2020 09:57 Uhr
		",inland
"
	            Penny-Filiale preist Lebensmittel mit ""wahren"" Kosten aus
	        ","
			12.09.2020 07:15 Uhr
		",inland
"
	            Kroatischer Präsident in Berlin: Deutschland wird wegen russischem Gas unter Druck gesetzt
	        ","
			11.09.2020 19:23 Uhr
		",inland
"
	            Mehrheit der Deutschen spricht sich gegen Baustopp von Nord Stream 2 wegen ""Causa Nawalny"" aus
	        ","
			11.09.2020 18:33 Uhr
		",inland
"
	            Wenn zwei ""Meinungsführer"" sich streiten: Deutscher Presserat rügt Bild-Bericht über Drosten-Studie
	        ","
			11.09.2020 14:42 Uhr
		",inland
"
	            Die Bundeswehr wird weiblicher: Anpassung der Dienstgradbezeichnungen
	        ","
			11.09.2020 14:00 Uhr
		",inland
"
	            Cottbus: Pakistaner sticht Jugendlichen nieder, um nicht abgeschoben zu werden
	        ","
			11.09.2020 09:04 Uhr
		",inland
"
	            Keine Nachweise mehr im RKI-Sentinel: Wo ist das SARS-CoV-2-Virus?
	        ","
			11.09.2020 06:45 Uhr
		",inland
"
	            Lambrecht will Demokratiefördergesetz: Gegen Extremismus, Rassismus, Verschwörungstheorien
	        ","
			10.09.2020 19:31 Uhr
		",inland
"
	            Linken-Politiker Klaus Ernst: Vorverurteilung Russlands nicht zulässig (Video-Interview)
	        ","
			10.09.2020 18:31 Uhr
		",inland
"
	            Die zwei Gesichter des Olaf Scholz: Kämpfer für Steuergerechtigkeit und Wirtschaftslobbyist
	        ","
			10.09.2020 15:32 Uhr
		",inland
"
	            ""Teilweise geklappt"": Warn-Apps versagen beim ersten bundesweiten Probealarm
	        ","
			10.09.2020 14:49 Uhr
		",inland
"
	            ""Graue Wölfe"" – Türkische Rechtsextremisten sollen Kommunalpolitik in NRW unterwandern
	        ","
			10.09.2020 14:15 Uhr
		",inland
"
	            Erster Fall von Afrikanischer Schweinepest in Deutschland bestätigt
	        ","
			10.09.2020 13:21 Uhr
		",inland
"
	            Kinder gegen Grippe impfen lassen? – Kinderarzt widerspricht Gesundheitsminister Spahn
	        ","
			10.09.2020 12:16 Uhr
		",inland
"
	            Studie: Immer die gleichen Politiker und Journalisten in deutschen Politik-Talkshows
	        ","
			10.09.2020 09:33 Uhr
		",inland
"
	            Verantwortungsvoller Umgang mit Rundfunkgebühren? ARD und ZDF finanzieren ""Reichstag Defender""
	        ","
			9.09.2020 22:39 Uhr
		",inland
"
	            Kühnert will Große Koalition nach Bundestagswahl nicht fortsetzen – Scholz schweigt
	        ","
			9.09.2020 20:35 Uhr
		",inland
"
	            Bundesregierung zu Nawalny: ""Russland hat Informationen, die gebraucht werden, nicht Deutschland""
	        ","
			9.09.2020 18:55 Uhr
		",inland
"
	            Hamburgs Erster Bürgermeister: Coronavirus ""kein Killervirus""
	        ","
			9.09.2020 12:58 Uhr
		",inland
"
	            Pop-up-Radwege in Berlin sind laut Gericht nicht rechtens
	        ","
			9.09.2020 09:37 Uhr
		",inland
"
	            Wie Vermieter Flüchtlinge als Profitquelle nutzen
	        ","
			9.09.2020 06:45 Uhr
		",inland
"
	            ""Wir warnen Deutschland"" – Warum am Donnerstag die Sirenen heulen
	        ","
			9.09.2020 06:00 Uhr
		",inland
"
	            Presserat: ""Mülldeponie""-Kolumne in der taz ist kein Verstoß gegen Pressekodex
	        ","
			8.09.2020 22:42 Uhr
		",inland
"
	            Entwicklungsstaatssekretär Jäger: Deutschland muss ""interventionsfähig"" werden
	        ","
			8.09.2020 17:52 Uhr
		",inland
"
	            Richard Grenell: Haben Deutschland zur Einstufung von Hisbollah als ""Terrororganisation"" gedrängt
	        ","
			8.09.2020 14:02 Uhr
		",inland
"
	            Lehrer in Deutschland sehen Mainstream-Medien zunehmend kritisch
	        ","
			8.09.2020 12:51 Uhr
		",inland
"
	            Wagenknecht beklagt Doppelmoral der Bundesregierung im Fall Nawalny
	        ","
			7.09.2020 22:35 Uhr
		",inland
"
	            Etappensieg der Transatlantiker? – Merkel schließt Stopp von Nord Stream 2 nicht mehr aus
	        ","
			7.09.2020 20:04 Uhr
		",inland
"
	            Lübcke-Mordprozess – Verteidiger erhebt schwere Vorwürfe gegenüber Ex-Kollegen
	        ","
			7.09.2020 19:24 Uhr
		",inland
"
	            ""Kein Bezug zu Deutschland"" – Auswärtiges Amt nicht an Abgleich der Nawalny-Proben interessiert
	        ","
			7.09.2020 17:38 Uhr
		",inland
"
	            ""Mausgerutscht"": Sächsische Polizei zieht Retweet über ""linkes Pack"" zurück
	        ","
			7.09.2020 16:33 Uhr
		",inland
"
	            Suche nach ""Schnappi"" gestaltet sich schwierig – Krokodil hält Thüringen in Atem
	        ","
			7.09.2020 16:06 Uhr
		",inland
"
	            Noch vor BER-Eröffnung: Flughafengesellschaft droht Pleite
	        ","
			7.09.2020 09:29 Uhr
		",inland
"
	            Studie der Bertelsmann Stiftung: Populismus in Deutschland rückläufig
	        ","
			6.09.2020 12:40 Uhr
		",inland
"
	            Opportunist der Macht? Auch Merz fordert ""Baustopp"" für Nord Stream 2
	        ","
			6.09.2020 10:28 Uhr
		",inland
"
	            Wieder Krawalle in Leipzig – Steinwürfe bei Demonstration
	        ","
			6.09.2020 06:44 Uhr
		",inland
"
	            ""Typische Zeichen einer Feindbildwahrnehmung"" – Hannes Hofbauer zur Nawalny-Medienberichterstattung
	        ","
			5.09.2020 20:31 Uhr
		",inland
"
	            Ab ins Ausland: Bundesregierung verschenkt Beatmungsgeräte
	        ","
			5.09.2020 16:00 Uhr
		",inland
"
	            Schließung vom Einzelhandel: Rückblickend unnötig? (Video)
	        ","
			5.09.2020 13:44 Uhr
		",inland
"
	            COVID-19-Pandemie: Steinmeier will Gedenkstunde für Opfer
	        ","
			5.09.2020 12:40 Uhr
		",inland
"
	            Gewalt bei Spontandemo in Leipzig – Vermummte greifen Polizeikräfte an
	        ","
			5.09.2020 06:47 Uhr
		",inland
"
	            FDP will ab 2021 wieder regieren
	        ","
			4.09.2020 22:44 Uhr
		",inland
"
	            Wieso wurde Nawalny-Probe nicht in neutralem Labor in der Schweiz untersucht?
	        ","
			4.09.2020 22:20 Uhr
		",inland
"
	            ""Wieso wurde Kundgebung von Reichsbürgern erlaubt?"" - Mathias Bröckers zum ""Sturm auf Reichstag""
	        ","
			4.09.2020 20:13 Uhr
		",inland
"
	            Fall Nawalny: Die Grünen als Vorreiter im Kampf gegen Nord Stream 2
	        ","
			4.09.2020 18:44 Uhr
		",inland
"
	            ""Deutschland rocks!"" – Elon Musk besucht seine Gigafabrik (Video)
	        ","
			4.09.2020 18:11 Uhr
		",inland
"
	            Mehr Impfungen gefordert, auch bei den Jüngsten – Kinderärzte warnen vor Überlastung der Praxen
	        ","
			4.09.2020 16:44 Uhr
		",inland
"
	            Wieso verweigert Bundesregierung Offenlegung der Bundeswehr-Laborbefunde zu Nawalny und Nowitschok?
	        ","
			4.09.2020 16:05 Uhr
		",inland
